periode_data,wilayah,kecamatan,kelurahan,nama_tps,jenis_tps,alamat
2023,Jakarta Selatan,Kebayoran Baru,Selong,TPS Mabes Polri,Tipe 3,Jl  Pattimura No 38   Jl Senjaya 1  Kel  Selong
2023,Jakarta Selatan,Kebayoran Baru,Petogogan,TPS Petogogan,Tipe 4,Jl  Pulo Raya V Rw 03 Kel  Petogogan
2023,Jakarta Selatan,Kebayoran Lama,Grogol Selatan,TPS Permata Hijau,Tipe 1,Dipo Permata Hijau II Perum Permata Hijau II RW  012 Kel  Grogol Selatan
2023,Jakarta Selatan,Kebayoran Lama,Grogol Utara,TPS Graha Pena,Tipe 2,Pool Countainer Graha Pena Jl  Kebayoran Lama RW  01
2023,Jakarta Selatan,Kebayoran Lama,Cipulir,TPS Komp  Sekskoal,Tipe 4,TPS Komp  Seskoal Jl  Cileduk Raya
2023,Jakarta Barat,Kebon Jeruk,Kebon Jeruk,TPS RW  08,Tipe 1,Jl  Perumahan Baru Kebon Jeruk
2023,Jakarta Barat,Kebon Jeruk,Kelapa Dua,TPS RW  02 Jl  Panjang Arteri Kelapa Dua,Tipe 4,Jl  Panjang Arteri Kelapa Dua
2023,Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,TPS RW  005,Tipe 1,Jl  Inspeksi Kali Sunter
2023,Jakarta Utara,Kelapa Gading,Pegangsaan Dua,TPS RW  002,Tipe 2,Jl  Boulevard Timur
2023,Jakarta Utara,Kelapa Gading,Pegangsaan Dua,TPS Kompi Udin,Tipe 4,Jl  Kompi Udin
2023,Jakarta Pusat,Kemayoran,Gunung Sahari Selatan,TPS Kran,Tipe 1,Jl  Kran Raya
2023,Jakarta Pusat,Kemayoran,Gunung Sahari Selatan,TPS Golden,Tipe 2,Jl  Bungur Besar Raya
2023,Jakarta Pusat,Kemayoran,Cempaka Baru,TPS Jl  PAM RW  08,Tipe 4,Jl  Pam RW  08 Cempaka Baru
2024,Kota Adm. Jakarta Barat,Kembangan,Meruya Selatan,TPS Mercu Buana,TPS 3R,Jl  Haji Merin No  66 RW  01
2023,Jakarta Barat,Kembangan,Kembangan Utara,TPS Taman Kota,Tipe 1,Jl  Perumahan Taman Kota Blok B1 RW  05
2023,Jakarta Barat,Kembangan,Meruya Utara,TPS Kebo,Tipe 2,Jl  Penyelesaian Tomang 3 RW  10
2023,Jakarta Barat,Kembangan,Joglo,TPS Copylas RW  08,Tipe 4,Jl  Joglo Raya RW  08
2024,Kota Adm. Jakarta Utara,Koja,Rawa Badak Utara,TPS RBU Ramah Lingkungan RW  09,TPS 3R,Jl  Inspeksi Kali Sunter
2023,Jakarta Utara,Koja,Koja,TPS Mbah Priok,Tipe 2,Jl  Raya Pelabuhan
2023,Jakarta Utara,Koja,Koja,TPS Liar,Tipe 4,Jl  Jampea Jembatan Pocis
2024,Kota Adm. Jakarta Timur,Kramat Jati,Cililitan,TPS Mayor Jendral Sutoyo,TPS 3R,Jl  Mayjen  Sutoyo
2023,Jakarta Timur,Kramat Jati,Dukuh,TPS Dukuh RW  3 RT  6,Tipe 1,Jl  Juwet RT  06 RW  03
2023,Jakarta Timur,Kramat Jati,Cililitan,TPS Komplek Puskesad,Tipe 2,Komplek Puskesad
2023,Jakarta Timur,Kramat Jati,Cawang,TPS RW 11 Cawang,Tipe 4,Jl Waru Dalam RW 11 Cawang
2023,Jakarta Timur,Makasar,Halim Perdana Kusuma,TPS Halim Perdana Kusuma RW  3 RT  19,Tipe 1,Jl  Bima RT  19 RW  03
2023,Jakarta Timur,Makasar,Cipinang Melayu,TPS RW  09,Tipe 2,Jl  Pangkalan Jati VII
2023,Jakarta Timur,Makasar,Cipinang Melayu,TPS RW  06 Kodam,Tipe 3,Jl  Seulawah Raya
2023,Jakarta Timur,Makasar,Cipinang Melayu,TPS RW  04,Tipe 4,Jl  Inpeksi Tarum Barat
2023,Jakarta Selatan,Mampang Prapatan,Bangka,TPS Dharma Jaya,Tipe 1,Jl  Kemang Utara IX RT  06 RW  04 Kel  Bangka
2023,Jakarta Selatan,Mampang Prapatan,Kuningan Barat,TPS Museum Satria Mandala,Tipe 2,Jl  Gatot Subroto R 01 Kel Kuningan Barat
2023,Jakarta Selatan,Mampang Prapatan,Bangka,TPS Codefin,Tipe 3,Jl  Kemang Raya RW  01 Kel  Bangka
2023,Jakarta Selatan,Mampang Prapatan,Bangka,TPS Panin,Tipe 4,Jl  Kemang Selatan X RW  02 Kel  Bangka
2023,Jakarta Timur,Matraman,Pisangan Baru,TPS Pisangan Baru,Tipe 1,Jl  Pisangan Baru Tengah RT  14
2023,Jakarta Timur,Matraman,Palmeriam,TPS RW  08,Tipe 2,Jl  Kayu Manis Lama I RW  08
2023,Jakarta Timur,Matraman,Utan Kayu Selatan,TPS RW  04 05 Asem Gede,Tipe 4,Jl  Asem Gede I
2023,Jakarta Pusat,Menteng,Pegangsaan,TPS Matraman,Tipe 1,Jl  Matraman Dalam 1
2023,Jakarta Pusat,Menteng,Cikini,TPS TIM,Tipe 2,Jl  Cikini Raya
2023,Jakarta Pusat,Menteng,Cikini,TPS RW  03 Cikini,Tipe 4,Jl  Raden Saleh II
2023,Jakarta Utara,Pademangan,Pademangan Timur,TPS Kelurahan Pademangan Timur,Tipe 1,Jl  Pademangan IX RT  02 010 Kel  Pademangan Timur
2023,Jakarta Utara,Pademangan,Pademangan Barat,TPS RW  14 Kel  Pademangan Barat,Tipe 2,Jl  Pademangan 1 No 13 RW  14 Kel  Pademangan Barat
2023,Jakarta Utara,Pademangan,Pademangan Barat,TPS Pasar Inpres RW  10 Kel  Pademangan Barat,Tipe 4,Jl  Pademangan 5 No  46 RW  10 Kel  Pademangan Barat
2023,Jakarta Barat,Palmerah,Palmerah,TPS Hankam,Tipe 1,Jl  Kepondang Raya RT  006 RW  02
2023,Jakarta Barat,Palmerah,Palmerah,TPS RW  03,Tipe 4,Jl  Kemanggisan Pulo
2023,Jakarta Selatan,Pancoran,Rawajati,TPS DPR Rawajati,Tipe 1,JI  Rawajati Barat
2023,Jakarta Selatan,Pancoran,Duren tiga,TPS PLN Sigura gura,Tipe 2,Jl  Duren Tiga PLN
2023,Jakarta Selatan,Pancoran,Pancoran,TPS MBAU,Tipe 4,Jl  Tiloka V No  1 Kel  Pancoran Kec  Pancoran
2024,Kota Adm. Jakarta Selatan,Pasar Minggu,Pejaten Barat,TPS Siaga,TPS 3R,Jalan Siaga Raya RT  012 RW  04 Pejaten Barat
2023,Jakarta Selatan,Pasar Minggu,Pejaten Barat,TPS Buncit Indah,Tipe 2,Perumahan Buncit Indah
2023,Jakarta Selatan,Pasar Minggu,Jati Padang,TPS Kel  Jatipadang,Tipe 4,Kelurahan Jati Padang
